"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget","Youtube Views"
"1","Star Wars: The Force Awakens","/movies/?id=starwars7.htm",936662225,"Buena Vista","December","Sci-Fi Fantasy",136,"PG-13",245,93763595
"2","Avatar","/movies/?id=avatar.htm",749766139,"Fox","December","Sci-Fi Adventure",160,"PG-13",NA,3426066
"3","Jurassic World","/movies/?id=jurassicpark4.htm",652270625,"Universal","June","Sci-Fi Horror",124,"PG-13",150,81160242
"4","Marvel's The Avengers","/movies/?id=avengers11.htm",623357910,"Buena Vista","May","Action / Adventure",142,"PG-13",220,5365213
"5","Titanic","/movies/?id=titanic.htm",600788188,"Paramount","December","Romance",194,"PG-13",200,2284667
"6","The Dark Knight","/movies/?id=darkknight.htm",533345358,"Warner Bros.","July","Action / Adventure",150,"PG-13",185,2993478
"7","Avengers: Age of Ultron","/movies/?id=avengers2.htm",459005868,"Buena Vista","May","Action / Adventure",141,"PG-13",250,79383296
"8","The Dark Knight Rises","/movies/?id=batman3.htm",448139099,"Warner Bros.","July","Action Thriller",165,"PG-13",250,31781521
"9","Shrek 2","/movies/?id=shrek2.htm",441226247,"DreamWorks","May","Animation",93,"PG",150,2246449
"10","Finding Dory","/movies/?id=pixar2015.htm",437770450,"Buena Vista","June","Animation",103,"PG",NA,27177758
"11","Star Wars: Episode I - The Phantom Menace","/movies/?id=starwars.htm",431088295,"Fox","May","Sci-Fi Fantasy",133,"PG",115,2413094
"12","The Hunger Games: Catching Fire","/movies/?id=catchingfire.htm",424668047,"Lionsgate","November","Action / Adventure",146,"PG-13",130,11263749
"13","Pirates of the Caribbean: Dead Man's Chest","/movies/?id=piratesofthecaribbean2.htm",423315812,"Buena Vista","July","Period Adventure",151,"PG-13",225,546167
"14","Toy Story 3","/movies/?id=toystory3.htm",415004880,"Buena Vista","June","Animation",103,"G",200,7414197
"15","Iron Man 3","/movies/?id=ironman3.htm",409013994,"Buena Vista","May","Action / Adventure",129,"PG-13",200,26243721
"16","The Hunger Games","/movies/?id=hungergames.htm",408010692,"Lionsgate","March","Action / Adventure",142,"PG-13",78,4953522
"17","Captain America: Civil War","/movies/?id=marvel2016.htm",406446194,"Buena Vista","May","Action / Adventure",147,"PG-13",250,71228225
"18","Spider-Man","/movies/?id=spiderman.htm",403706375,"Sony / Columbia","May","Action / Adventure",121,"PG-13",139,4907208
"19","Transformers: Revenge of the Fallen","/movies/?id=transformers2.htm",402111870,"Paramount (DreamWorks)","June","Sci-Fi Action",144,"PG-13",200,522490
"20","Frozen","/movies/?id=frozen2013.htm",400738009,"Buena Vista","November","Animation",108,"PG",150,32153934
"21","Harry Potter and the Deathly Hallows Part 2","/movies/?id=harrypotter72.htm",381011219,"Warner Bros.","July","Fantasy",130,"PG-13",NA,11658150
"22","Star Wars: Episode III - Revenge of the Sith","/movies/?id=starwars3.htm",380270577,"Fox","May","Sci-Fi Fantasy",146,"PG-13",113,1827139
"23","The Lord of the Rings: The Return of the King","/movies/?id=returnoftheking.htm",377027325,"New Line","December","Fantasy",200,"PG-13",94,1405841
"24","Spider-Man 2","/movies/?id=spiderman2.htm",373585825,"Sony / Columbia","June","Action / Adventure",127,"PG-13",200,115275
"25","The Passion of the Christ","/movies/?id=passionofthechrist.htm",370274604,"Newmarket","February","Historical Drama",126,"R",30,921240
"26","Despicable Me 2","/movies/?id=despicableme2.htm",368061265,"Universal","July","Animation",98,"PG",76,1754826
"27","Deadpool","/movies/?id=deadpool2016.htm",363070709,"Fox","February","Action",106,"R",58,23544201
"28","The Jungle Book (2016)","/movies/?id=junglebook2015.htm",360482363,"Buena Vista","April","Adventure",105,"PG",175,7066011
"29","E.T.: The Extra-Terrestrial","/movies/?id=et.htm",359197037,"Universal","June","Family Adventure",117,"PG",10.5,263120
"30","Jurassic Park","/movies/?id=jurassicpark.htm",357067947,"Universal","June","Sci-Fi Horror",127,"PG-13",63,2047942
"31","Inside Out","/movies/?id=pixar2014.htm",356461711,"Buena Vista","June","Animation",94,"PG",175,15973874
"32","Furious 7","/movies/?id=fast7.htm",353007020,"Universal","April","Action",137,"PG-13",190,66323319
"33","Transformers: Dark of the Moon","/movies/?id=transformers3.htm",352390543,"Paramount (DreamWorks)","June","Sci-Fi Action",154,"PG-13",195,21843900
"34","American Sniper","/movies/?id=americansniper.htm",350126372,"Warner Bros.","December","Drama",132,"R",58.8,15893362
"35","Zootopia","/movies/?id=disney2016.htm",341093546,"Buena Vista","March","Animation",108,"PG",NA,17680094
